time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-15 00:00:00+00:00,4,2,0,0
2024-08-16 00:00:00+00:00,1,1,19,2
2024-08-18 00:00:00+00:00,0,0,1,1
2024-08-19 00:00:00+00:00,0,0,137,8
2024-08-20 00:00:00+00:00,2,2,43,12
2024-08-21 00:00:00+00:00,0,0,54,9
2024-08-22 00:00:00+00:00,3,3,36,7
2024-08-23 00:00:00+00:00,1,1,3,3
2024-08-25 00:00:00+00:00,0,0,1,1
2024-08-26 00:00:00+00:00,0,0,9,4
2024-08-27 00:00:00+00:00,2,2,26,4
2024-08-28 00:00:00+00:00,0,0,2,1
2024-08-29 00:00:00+00:00,1,1,47,3
2024-08-30 00:00:00+00:00,2,1,27,4
2024-08-31 00:00:00+00:00,0,0,117,5
2024-09-02 00:00:00+00:00,1,1,0,0
2024-09-03 00:00:00+00:00,2,2,0,0
2024-09-04 00:00:00+00:00,2,1,1,1
2024-09-05 00:00:00+00:00,1,1,1,1
2024-09-06 00:00:00+00:00,5,3,2,2
2024-09-07 00:00:00+00:00,1,1,0,0
2024-09-08 00:00:00+00:00,0,0,1,1
2024-09-09 00:00:00+00:00,4,2,1,1
2024-09-10 00:00:00+00:00,2,1,5,5
2024-09-11 00:00:00+00:00,0,0,1,1
2024-09-12 00:00:00+00:00,0,0,2,1
2024-09-13 00:00:00+00:00,3,1,11,1
2024-09-14 00:00:00+00:00,2,1,0,0
2024-09-15 00:00:00+00:00,3,2,0,0
2024-09-16 00:00:00+00:00,1,1,1,1
2024-09-17 00:00:00+00:00,1,1,0,0
2024-09-19 00:00:00+00:00,1,1,0,0
2024-09-20 00:00:00+00:00,5,5,0,0
2024-09-22 00:00:00+00:00,0,0,1,1
2024-09-25 00:00:00+00:00,1,1,0,0
2024-09-27 00:00:00+00:00,3,2,0,0
2024-09-28 00:00:00+00:00,3,1,1,1
2024-09-29 00:00:00+00:00,5,2,0,0
2024-09-30 00:00:00+00:00,5,2,0,0
2024-10-01 00:00:00+00:00,3,3,6,1
2024-10-02 00:00:00+00:00,2,2,1,1
2024-10-03 00:00:00+00:00,3,2,1,1
2024-10-04 00:00:00+00:00,2,2,0,0
2024-10-05 00:00:00+00:00,2,1,0,0
2024-10-06 00:00:00+00:00,3,1,0,0
2024-10-07 00:00:00+00:00,1,1,19,7
2024-10-08 00:00:00+00:00,2,2,1,1
2024-10-09 00:00:00+00:00,2,2,0,0
2024-10-10 00:00:00+00:00,2,1,0,0
2024-10-11 00:00:00+00:00,5,2,6,2
2024-10-12 00:00:00+00:00,4,2,0,0
2024-10-13 00:00:00+00:00,0,0,1,1
2024-10-14 00:00:00+00:00,2,2,40,2
2024-10-15 00:00:00+00:00,0,0,13,2
2024-10-16 00:00:00+00:00,0,0,1,1
2024-10-17 00:00:00+00:00,0,0,11,2
2024-10-18 00:00:00+00:00,0,0,2,1
2024-10-20 00:00:00+00:00,1,1,1,1
2024-10-24 00:00:00+00:00,0,0,5,1
2024-10-25 00:00:00+00:00,0,0,10,1
2024-10-26 00:00:00+00:00,3,2,0,0
2024-10-28 00:00:00+00:00,2,1,0,0
2024-10-29 00:00:00+00:00,1,1,36,3
2024-10-30 00:00:00+00:00,1,1,0,0
2024-11-01 00:00:00+00:00,2,1,0,0
2024-11-04 00:00:00+00:00,3,2,0,0
2024-11-05 00:00:00+00:00,1,1,0,0
2024-11-06 00:00:00+00:00,2,1,1,1
2024-11-07 00:00:00+00:00,3,1,0,0
2024-11-08 00:00:00+00:00,0,0,1,1
2024-11-12 00:00:00+00:00,2,2,12,1
2024-11-13 00:00:00+00:00,2,2,0,0
2024-11-15 00:00:00+00:00,1,1,0,0
2024-11-16 00:00:00+00:00,1,1,0,0
2024-11-19 00:00:00+00:00,0,0,1,1
2024-11-21 00:00:00+00:00,3,2,0,0
2024-11-23 00:00:00+00:00,3,2,0,0
2024-11-24 00:00:00+00:00,1,1,0,0
2024-11-26 00:00:00+00:00,1,1,0,0
2024-11-27 00:00:00+00:00,2,1,0,0
2024-11-28 00:00:00+00:00,1,1,0,0
2024-11-29 00:00:00+00:00,3,3,6,1
2024-11-30 00:00:00+00:00,3,2,0,0
2024-12-01 00:00:00+00:00,4,2,0,0
2024-12-02 00:00:00+00:00,1,1,0,0
2024-12-04 00:00:00+00:00,3,2,0,0
2024-12-05 00:00:00+00:00,1,1,0,0
2024-12-06 00:00:00+00:00,3,1,0,0
2024-12-08 00:00:00+00:00,2,1,0,0
2024-12-09 00:00:00+00:00,2,1,0,0
2024-12-12 00:00:00+00:00,1,1,0,0
2024-12-13 00:00:00+00:00,2,1,0,0
2024-12-14 00:00:00+00:00,1,1,0,0
2024-12-15 00:00:00+00:00,3,2,0,0
2024-12-16 00:00:00+00:00,2,2,0,0
2024-12-17 00:00:00+00:00,3,2,0,0
2024-12-18 00:00:00+00:00,2,1,0,0
2024-12-19 00:00:00+00:00,2,2,0,0
2024-12-21 00:00:00+00:00,3,2,0,0
2024-12-22 00:00:00+00:00,2,1,0,0
2024-12-23 00:00:00+00:00,1,1,2,2
2024-12-24 00:00:00+00:00,2,2,1,1
2024-12-25 00:00:00+00:00,1,1,0,0
